#                                       Agent1                                       Agent2                                       Agent3                                       Agent4
#      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc
      0.0643485      0.0409696       0.423846      0.0698022      0.0633738       0.418938      0.0698022      0.0633738       0.418938       0.106688      0.0697568       0.418419
       0.113845      0.0323317       0.344338      0.0717812       0.049958       0.341144      0.0717812       0.049958       0.341144      0.0334762      0.0635254       0.340806
      0.0612091       0.029613       0.279744      0.0565008      0.0362471       0.277796      0.0565008      0.0362471       0.277796      0.0437908      0.0340402        0.27759
      0.0408905      0.0197668       0.227268      0.0453029      0.0177545       0.226212      0.0453029      0.0177545       0.226212      0.0566637      0.0218727       0.226099
      0.0264377      0.0153822       0.184635      0.0368867      0.0140094       0.184206      0.0368867      0.0140094       0.184206      0.0548451      0.0120736        0.18416
      0.0237729      0.0320815           0.15      0.0304961      0.0404627           0.15      0.0304961      0.0404627           0.15      0.0428399      0.0287678           0.15
      0.0210217      0.0150152           0.15      0.0277565       0.015505           0.15      0.0277565       0.015505           0.15      0.0345003      0.0175265           0.15
      0.0234753      0.0159369           0.15       0.026981      0.0255707           0.15       0.026981      0.0255707           0.15       0.032886      0.0288699           0.15
      0.0309479      0.0370498           0.15      0.0430962      0.0717806           0.15      0.0430962      0.0717806           0.15      0.0617104      0.0966941           0.15
      0.0340766      0.0610731           0.15      0.0541349      0.0841708           0.15      0.0541349      0.0841708           0.15      0.0921858      0.0988501           0.15
      0.0349576      0.0251759           0.15      0.0498856      0.0387752           0.15      0.0498856      0.0387752           0.15      0.0839834      0.0560144           0.15
      0.0323782      0.0446297           0.15      0.0417062      0.0921299           0.15      0.0417062      0.0921299           0.15      0.0782996      0.0783806           0.15
      0.0212092      0.0458693           0.15       0.038857      0.0885567           0.15       0.038857      0.0885567           0.15      0.0652018      0.0853114           0.15
      0.0326374      0.0246931           0.15      0.0570614      0.0518894           0.15      0.0570614      0.0518894           0.15      0.0964522      0.0422587           0.15
      0.0414597      0.0161565           0.15      0.0580711      0.0283612           0.15      0.0580711      0.0283612           0.15      0.0825091      0.0270454           0.15
      0.0250759      0.0245829           0.15      0.0367967      0.0423134           0.15      0.0367967      0.0423134           0.15      0.0659789      0.0464398           0.15
      0.0217457      0.0233882           0.15      0.0334417      0.0557796           0.15      0.0334417      0.0557796           0.15      0.0581578      0.0667735           0.15
      0.0175747      0.0265212           0.15       0.033089      0.0473043           0.15       0.033089      0.0473043           0.15      0.0580663      0.0631879           0.15
      0.0168275      0.0241862           0.15      0.0280667      0.0437332           0.15      0.0280667      0.0437332           0.15      0.0483957      0.0629936           0.15
      0.0125962      0.0202021           0.15      0.0198441      0.0467625           0.15      0.0198441      0.0467625           0.15      0.0334587       0.075186           0.15
      0.0132675       0.027178           0.15      0.0236461      0.0401284           0.15      0.0236461      0.0401284           0.15      0.0417156      0.0599734           0.15
       0.010752     0.00886126           0.15      0.0212171      0.0126806           0.15      0.0212171      0.0126806           0.15      0.0365725      0.0179074           0.15
      0.0187006     0.00639015           0.15      0.0213782       0.014414           0.15      0.0213782       0.014414           0.15      0.0285163      0.0192375           0.15
      0.0247324     0.00451065           0.15      0.0221828     0.00825634           0.15      0.0221828     0.00825634           0.15       0.025007      0.0104322           0.15
      0.0203191     0.00682331           0.15      0.0201726      0.0178531           0.15      0.0201726      0.0178531           0.15      0.0253587       0.028424           0.15
      0.0152672     0.00497133           0.15      0.0209149      0.0141028           0.15      0.0209149      0.0141028           0.15      0.0315705      0.0213056           0.15
       0.011745      0.0031686           0.15      0.0211857      0.0073184           0.15      0.0211857      0.0073184           0.15      0.0310013       0.013289           0.15
      0.0115653      0.0113122           0.15      0.0202746      0.0149039           0.15      0.0202746      0.0149039           0.15      0.0327387      0.0188284           0.15
       0.010596     0.00757454           0.15         0.0184      0.0117088           0.15         0.0184      0.0117088           0.15      0.0295212      0.0127466           0.15
      0.0198871      0.0189298           0.15      0.0289407       0.043697           0.15      0.0289407       0.043697           0.15      0.0393207       0.053637           0.15
      0.0175502      0.0257291           0.15      0.0357277      0.0444065           0.15      0.0357277      0.0444065           0.15      0.0557399      0.0559511           0.15
      0.0147913      0.0259574           0.15      0.0307466       0.037142           0.15      0.0307466       0.037142           0.15      0.0543669      0.0519239           0.15
      0.0074176      0.0214991           0.15      0.0212017      0.0530108           0.15      0.0212017      0.0530108           0.15      0.0416895      0.0782594           0.15
      0.0123795       0.011221           0.15      0.0189229      0.0428218           0.15      0.0189229      0.0428218           0.15      0.0315954      0.0685282           0.15
      0.0156747     0.00571263           0.15      0.0208046      0.0152337           0.15      0.0208046      0.0152337           0.15      0.0268246       0.025566           0.15
      0.0149631     0.00869303           0.15      0.0184176      0.0155482           0.15      0.0184176      0.0155482           0.15      0.0248858      0.0233826           0.15
      0.0151172      0.0058319           0.15      0.0150997        0.01022           0.15      0.0150997        0.01022           0.15      0.0192172      0.0161613           0.15
      0.0133901      0.0033916           0.15      0.0143441     0.00649758           0.15      0.0143441     0.00649758           0.15      0.0191509      0.0097928           0.15
      0.0190874      0.0184239           0.15      0.0304495      0.0337584           0.15      0.0304495      0.0337584           0.15       0.043344       0.047313           0.15
      0.0202156      0.0104347           0.15      0.0370146      0.0206469           0.15      0.0370146      0.0206469           0.15      0.0533116      0.0291012           0.15
      0.0139468     0.00881421           0.15      0.0311339      0.0178861           0.15      0.0311339      0.0178861           0.15      0.0602374      0.0220516           0.15
      0.0129063     0.00922629           0.15      0.0166125      0.0307636           0.15      0.0166125      0.0307636           0.15      0.0284183       0.043247           0.15
      0.0102699       0.015103           0.15      0.0202709      0.0368594           0.15      0.0202709      0.0368594           0.15      0.0361999      0.0523142           0.15
      0.0132682     0.00877268           0.15      0.0214504      0.0159508           0.15      0.0214504      0.0159508           0.15       0.032044      0.0249712           0.15
       0.012384      0.0103848           0.15      0.0204132      0.0202614           0.15      0.0204132      0.0202614           0.15      0.0323735      0.0278345           0.15
     0.00915838     0.00928535           0.15      0.0180642      0.0204572           0.15      0.0180642      0.0204572           0.15      0.0306361      0.0254861           0.15
     0.00751055     0.00767932           0.15      0.0166953       0.024459           0.15      0.0166953       0.024459           0.15      0.0263434      0.0311081           0.15
      0.0116738     0.00517968           0.15       0.018381      0.0111258           0.15       0.018381      0.0111258           0.15      0.0237531      0.0173675           0.15
      0.0112192      0.0116102           0.15      0.0162748      0.0201644           0.15      0.0162748      0.0201644           0.15      0.0258666      0.0264629           0.15
     0.00762054     0.00655814           0.15      0.0152729      0.0156915           0.15      0.0152729      0.0156915           0.15       0.024614      0.0256122           0.15
      0.0177925      0.0102931           0.15      0.0248589      0.0304031           0.15      0.0248589      0.0304031           0.15      0.0389765      0.0424649           0.15
      0.0113231     0.00813943           0.15      0.0203928      0.0198658           0.15      0.0203928      0.0198658           0.15      0.0304584      0.0254552           0.15
     0.00938926     0.00684425           0.15      0.0166414      0.0183985           0.15      0.0166414      0.0183985           0.15      0.0268596      0.0219147           0.15
     0.00769481     0.00655904           0.15      0.0153444      0.0223003           0.15      0.0153444      0.0223003           0.15      0.0222609      0.0352363           0.15
     0.00913761     0.00724551           0.15        0.01605      0.0263576           0.15        0.01605      0.0263576           0.15       0.023644      0.0408715           0.15
     0.00710216     0.00403409           0.15      0.0166262      0.0128643           0.15      0.0166262      0.0128643           0.15      0.0279456      0.0210525           0.15
      0.0101912     0.00547436           0.15      0.0160553       0.013166           0.15      0.0160553       0.013166           0.15      0.0261896       0.022211           0.15
     0.00815084     0.00781075           0.15      0.0134565      0.0142139           0.15      0.0134565      0.0142139           0.15      0.0255155      0.0149357           0.15
     0.00892002     0.00561713           0.15      0.0127279     0.00993533           0.15      0.0127279     0.00993533           0.15      0.0232134      0.0118622           0.15
     0.00906781     0.00425779           0.15      0.0124123     0.00768256           0.15      0.0124123     0.00768256           0.15      0.0220598     0.00682859           0.15
      0.0171857      0.0115059           0.15      0.0269968      0.0427964           0.15      0.0269968      0.0427964           0.15      0.0393652      0.0501727           0.15
     0.00741972     0.00738779           0.15      0.0266943      0.0224655           0.15      0.0266943      0.0224655           0.15      0.0433045      0.0264589           0.15
      0.0110586     0.00820898           0.15      0.0205837      0.0243773           0.15      0.0205837      0.0243773           0.15      0.0380884       0.025681           0.15
      0.0131423     0.00415246           0.15       0.017313      0.0153515           0.15       0.017313      0.0153515           0.15      0.0304512      0.0161046           0.15
     0.00679079      0.0119574           0.15      0.0134039      0.0153933           0.15      0.0134039      0.0153933           0.15      0.0242099       0.014363           0.15
       0.021315      0.0209259           0.15      0.0285068      0.0535569           0.15      0.0285068      0.0535569           0.15       0.025531      0.0621367           0.15
      0.0127122     0.00980858           0.15      0.0182847      0.0187691           0.15      0.0182847      0.0187691           0.15      0.0271736      0.0199899           0.15
      0.0144242      0.0115203           0.15      0.0241991      0.0231231           0.15      0.0241991      0.0231231           0.15      0.0341549      0.0281928           0.15
     0.00970607     0.00899573           0.15      0.0195184      0.0208847           0.15      0.0195184      0.0208847           0.15      0.0326688       0.025597           0.15
      0.0147423      0.0112543           0.15      0.0171262      0.0237211           0.15      0.0171262      0.0237211           0.15      0.0281684      0.0287605           0.15
      0.0144044      0.0103456           0.15      0.0178414      0.0316026           0.15      0.0178414      0.0316026           0.15      0.0242827      0.0488978           0.15
     0.00952902     0.00846348           0.15       0.017723      0.0185695           0.15       0.017723      0.0185695           0.15      0.0257686      0.0380922           0.15
      0.0138401     0.00540219           0.15      0.0182826      0.0119487           0.15      0.0182826      0.0119487           0.15      0.0275767      0.0181906           0.15
      0.0102427     0.00901851           0.15       0.018191      0.0177377           0.15       0.018191      0.0177377           0.15      0.0287961      0.0292521           0.15
     0.00749333     0.00623812           0.15      0.0155089      0.0174653           0.15      0.0155089      0.0174653           0.15      0.0240722      0.0268492           0.15
       0.010169     0.00375106           0.15      0.0163247     0.00967545           0.15      0.0163247     0.00967545           0.15      0.0251754      0.0155119           0.15
